,City,Country,Longitude,Latitude,Weather,Temp,Temp (Max),Temp (Min),Humidity,Cloudiness,Wind Speed
0,Tuatapere,NZ,167.6833,-46.1333,broken clouds,43.83,43.83,43.83,78,70,2.37
1,Fort Saint James,CA,-124.25,54.4333,scattered clouds,80.6,80.6,80.6,23,28,8.81
2,Cockburn Town,TC,-71.1419,21.4612,few clouds,81.05,81.05,81.05,75,18,15.5
3,Tiksi,RU,128.8694,71.6872,overcast clouds,43.93,43.93,43.93,68,91,20.49
4,Bijapur,IN,75.7,16.8333,overcast clouds,71.47,71.47,71.47,89,100,20.07
5,Madisonville,US,-87.4989,37.3281,broken clouds,87.08,88.41,84.02,69,75,5.28
6,Tuktoyaktuk,CA,-133.0374,69.4541,overcast clouds,38.25,38.25,38.25,72,100,20.51
7,Sinjār,IQ,41.8754,36.3209,clear sky,90.37,90.37,90.37,15,0,10.96
8,Luanda,AO,13.2343,-8.8368,few clouds,69.8,69.8,69.8,88,20,4.61
9,Hobart,AU,147.3294,-42.8794,fog,43.59,49.12,39.06,96,75,3.44
10,Busselton,AU,115.3333,-33.65,overcast clouds,49.05,49.08,49.05,61,92,27.11
11,São João da Barra,BR,-41.0511,-21.6403,scattered clouds,71.89,71.89,71.89,88,34,12.44
12,Aracati,BR,-37.7697,-4.5617,overcast clouds,81.19,81.19,81.19,73,87,12.03
13,Clyde River,CA,-68.5914,70.4692,clear sky,47.7,47.7,47.7,62,10,6.26
14,Kushmurun,KZ,64.6311,52.4503,scattered clouds,50.86,50.86,50.86,66,49,9.17
15,Adrar,MR,-10.0711,20.5022,scattered clouds,97.43,97.43,97.43,17,38,15.12
16,Vestmannaeyjar,IS,-20.2734,63.4427,broken clouds,50.61,50.61,50.61,90,83,29.39
17,Vakhrushev,RU,142.9667,48.9833,overcast clouds,61.34,61.34,61.34,95,100,4.21
18,Saint-Philippe,RE,55.7679,-21.3585,light rain,65.98,67.55,65.79,80,86,12.24
19,Kaitangata,NZ,169.8464,-46.2817,broken clouds,44.92,44.92,44.92,66,73,6.08
20,Westport,US,-73.3579,41.1415,scattered clouds,82.08,88.05,76.77,84,49,1.99
21,Bredasdorp,ZA,20.0403,-34.5322,overcast clouds,41.29,41.29,41.29,82,91,6.24
22,East London,ZA,27.9116,-33.0153,clear sky,54.57,54.57,54.57,59,0,7.4
23,Bluff,NZ,168.3333,-46.6,broken clouds,43.81,43.81,43.81,63,84,8.52
24,Ushuaia,AR,-68.3,-54.8,overcast clouds,28.42,28.42,28.42,97,100,1.07
25,Mataura,NZ,168.8643,-46.1927,broken clouds,43.48,43.48,43.48,89,74,1.34
26,Mocuba,MZ,36.9856,-16.8392,light rain,65.37,65.37,65.37,94,76,1.81
27,Albany,US,-73.9662,42.6001,scattered clouds,73.51,82.58,67.87,90,26,7.23
28,Yellowknife,CA,-114.3525,62.456,overcast clouds,79.29,79.29,79.29,47,100,7.54
29,Belmonte,BR,-38.8828,-15.8631,clear sky,72.45,72.45,72.45,86,3,5.68
30,Castro,BR,-50.0119,-24.7911,broken clouds,58.23,58.23,58.23,63,58,3.98
31,Rikitea,PF,-134.9692,-23.1203,clear sky,73.11,73.11,73.11,72,0,9.13
32,Isangel,VU,169.2667,-19.55,broken clouds,73.36,73.36,73.36,79,82,16.51
33,Mayo,US,-76.5119,38.8876,few clouds,82.08,88.36,77.95,81,20,3.44
34,Chokurdakh,RU,147.9167,70.6333,moderate rain,40.66,40.66,40.66,91,100,19.82
35,Bethel,US,-73.414,41.3712,broken clouds,81.18,86.58,76.57,91,64,5.39
36,Nichinan,JP,131.3667,31.6,clear sky,73.08,73.08,73.08,87,3,3.89
37,Taoudenni,ML,-3.9836,22.6783,clear sky,102.0,102.0,102.0,4,0,9.4
38,Nanortalik,GL,-45.2371,60.1432,few clouds,48.92,48.92,48.92,76,23,9.04
39,Vaini,TO,-175.2,-21.2,overcast clouds,73.56,73.56,73.56,83,99,19.86
40,Punta Arenas,CL,-70.9167,-53.15,overcast clouds,37.11,37.11,37.11,100,100,2.53
41,Padang,ID,100.3543,-0.9492,overcast clouds,75.33,75.33,75.33,71,96,4.12
42,Avarua,CK,-159.775,-21.2078,broken clouds,77.02,77.02,77.02,78,62,13.04
43,Makakilo City,US,-158.0858,21.3469,few clouds,82.27,82.69,76.28,63,11,11.92
44,Hermanus,ZA,19.2345,-34.4187,overcast clouds,50.9,50.9,50.9,79,85,7.74
45,Quatre Cocos,MU,57.7625,-20.2078,overcast clouds,71.8,71.8,71.8,62,99,11.83
46,Lebu,CL,-73.65,-37.6167,scattered clouds,50.16,50.16,50.16,79,28,4.7
47,Hong Kong,HK,114.1577,22.2855,light rain,84.27,85.32,83.25,82,14,4.52
48,Te Anau,NZ,167.7167,-45.4167,light rain,45.77,45.77,45.77,93,100,0.47
49,Kavieng,PG,150.7967,-2.5744,light rain,83.34,83.34,83.34,74,76,8.14
50,Moundou,TD,16.0833,8.5667,light rain,72.55,72.55,72.55,94,99,1.88
51,Assiut,EG,31.1837,27.181,scattered clouds,85.39,85.39,85.39,24,31,6.71
52,Limbang,MY,115.0,4.75,overcast clouds,71.71,71.71,71.71,98,100,2.82
53,Arkansas City,US,-97.0384,37.062,clear sky,89.87,92.52,88.63,51,1,20.71
54,Teguise,ES,-13.564,29.0605,few clouds,68.22,68.22,68.22,78,20,24.16
55,San Cristobal,VE,-72.225,7.7669,scattered clouds,77.76,77.76,77.76,56,31,6.08
56,Puerto Ayora,EC,-90.3518,-0.7393,broken clouds,73.54,73.54,73.54,85,58,5.01
57,Saint Paul Harbor,US,-152.4072,57.79,scattered clouds,53.22,53.22,53.22,79,48,6.53
58,Kapaa,US,-159.319,22.0752,light rain,78.67,84.18,78.19,82,22,4.0
59,Beaverlodge,CA,-119.4361,55.2166,scattered clouds,86.2,86.2,86.2,15,35,19.86
60,Pevek,RU,170.3133,69.7008,overcast clouds,39.4,39.4,39.4,90,100,3.27
61,Port Alfred,ZA,26.891,-33.5906,clear sky,54.64,54.64,54.64,39,0,7.54
62,Bethanien,NA,17.1583,-26.502,clear sky,40.44,40.44,40.44,32,0,5.99
63,Bajmok,RS,19.4243,45.9688,overcast clouds,74.25,74.25,74.25,63,86,11.05
64,Soyo,AO,12.3689,-6.1349,scattered clouds,71.47,71.47,71.47,89,31,9.04
65,Mayumba,GA,10.6554,-3.432,scattered clouds,71.04,71.04,71.04,90,45,6.44
66,Klaksvík,FO,-6.589,62.2266,broken clouds,52.72,52.72,52.72,88,72,23.44
67,Phan Thiet,VN,108.1,10.9333,moderate rain,76.5,76.5,76.5,88,100,4.32
68,Myitkyina,MM,97.4,25.3833,light rain,74.68,74.68,74.68,99,100,0.94
69,Lethem,GY,-59.7968,3.3803,broken clouds,79.09,79.09,79.09,85,76,4.7
70,Butaritari,KI,172.7902,3.0707,light rain,83.62,83.62,83.62,77,5,12.68
71,Northam,GB,-4.2167,51.0333,scattered clouds,58.68,62.29,57.67,93,33,7.43
72,Otjimbingwe,NA,16.1333,-22.35,clear sky,53.96,53.96,53.96,15,0,10.36
73,Jamestown,US,-79.2353,42.097,few clouds,78.44,79.02,75.52,56,16,11.99
74,Kruisfontein,ZA,24.7314,-34.0033,scattered clouds,46.0,46.0,46.0,55,42,5.91
